  
       XFOIL         Version 6.99
  
 Calculated polar for: CST Airfoil                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -2.000   0.1549   0.02021   0.01000  -0.0360   0.6385   0.0060  20.6685  84.4377
  -1.500   0.1980   0.01713   0.00583  -0.0300   0.6116   0.0071  22.1066  84.9891
  -1.000   0.2399   0.01483   0.00438  -0.0268   0.5838   0.0079  23.5839  85.3249
  -0.500   0.3030   0.01297   0.00241  -0.0274   0.5556   0.0103  25.0804  86.4184
   0.000   0.4427   0.01014  -0.00034  -0.0443   0.5213   0.0045  26.9014  83.7212
   0.500   0.4753   0.00984  -0.00050  -0.0391   0.4979   0.0048  28.1454  83.8687
   1.000   0.5051   0.00966  -0.00053  -0.0333   0.4750   0.0056  29.3604  84.2619
   1.500   0.5364   0.00966  -0.00050  -0.0280   0.4526   0.0072  30.5463  85.0037
   2.000   0.5596   0.00953  -0.00043  -0.0208   0.4322   0.1012  31.6280 107.4740
   2.500   0.5015   0.00803  -0.00073   0.0040   0.4223   0.6821  32.1514 142.9805
   4.000   0.7422   0.01071   0.00144  -0.0117   0.3448   0.9385  36.2621 157.3354
   4.500   0.7857   0.01099   0.00145  -0.0096   0.3249   0.9412  37.3162 157.4859
   5.000   0.7816   0.01108   0.00111   0.0030   0.3104   0.9511  38.0895 158.0507
   5.500   0.8343   0.01139   0.00117   0.0028   0.2910   0.9522  39.1304 158.1160
   6.000   0.8851   0.01176   0.00122   0.0030   0.2717   0.9535  40.1684 158.1886
   6.500   0.9309   0.01230   0.00127   0.0039   0.2427   0.9552  41.7459 158.2860
   7.000   0.9681   0.01311   0.00135   0.0064   0.1974   0.9578  44.2949 158.4344
   7.500   0.9982   0.01392   0.00138   0.0104   0.1646   0.9620  46.2564 158.6799
   8.000   1.0005   0.01483   0.00123   0.0200   0.1305   0.9689  48.5210 159.0712
   8.500   1.0384   0.01600   0.00158   0.0213   0.0932   0.9704  51.5121 159.1587
   9.000   1.0407   0.01925   0.00307   0.0274   0.0006   0.9733  76.3684 159.3261
   9.500   1.0805   0.02022   0.00327   0.0282   0.0005   0.9755  76.8671 159.4515
  10.000   1.1129   0.02133   0.00346   0.0302   0.0005   0.9783  76.8676 159.6165
  10.500   1.1116   0.02286   0.00336   0.0391   0.0005   0.9854  76.8146 160.0278
  11.000   1.1525   0.02420   0.00389   0.0383   0.0005   0.9862  76.6457 160.0803
  11.500   1.1889   0.02589   0.00454   0.0378   0.0006   0.9873  76.3968 160.1514
  12.000   1.2173   0.02809   0.00545   0.0381   0.0007   0.9887  76.1310 160.2436
  12.500   1.2378   0.03091   0.00681   0.0387   0.0008   0.9904  75.9103 160.3600
  13.000   1.2595   0.03374   0.00813   0.0389   0.0010   0.9923  75.4759 160.4874
  13.500   1.2670   0.03801   0.01051   0.0394   0.0012   0.9944  75.0784 160.6275
  14.000   1.2831   0.04193   0.01270   0.0387   0.0014   0.9964  74.6049 160.7589
