  
       XFOIL         Version 6.99
  
 Calculated polar for: S809-like Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -2.000   0.0738   0.00672  -0.00020  -0.0460   0.5374   0.0094  26.1234  86.5181
  -1.500   0.1209   0.00642  -0.00033  -0.0451   0.5299   0.0100  26.5218  86.7993
  -1.000   0.1373   0.00459  -0.00082  -0.0398   0.5226   0.5033  26.9132 133.2877
  -0.500   0.1905   0.00458  -0.00057  -0.0399   0.5161   0.5614  27.2624 136.5126
   0.000   0.2453   0.00464  -0.00059  -0.0404   0.5082   0.5675  27.6829 136.8529
   0.500   0.2991   0.00469  -0.00061  -0.0408   0.5008   0.5722  28.0763 137.1158
   1.000   0.3538   0.00469  -0.00062  -0.0414   0.4950   0.5782  28.3880 137.4492
   1.500   0.4070   0.00476  -0.00065  -0.0416   0.4878   0.5839  28.7690 137.7625
   2.500   0.5137   0.00485  -0.00073  -0.0423   0.4755   0.5948  29.4267 138.3691
   3.000   0.5651   0.00493  -0.00079  -0.0423   0.4691   0.6006  29.7691 138.6899
   3.500   0.6166   0.00504  -0.00085  -0.0423   0.4629   0.6057  30.0973 138.9785
   4.000   0.6681   0.00505  -0.00093  -0.0423   0.4575   0.6125  30.3864 139.3530
   4.500   0.7171   0.00514  -0.00104  -0.0419   0.4516   0.6185  30.7025 139.6868
   5.000   0.7650   0.00529  -0.00116  -0.0412   0.4453   0.6237  31.0408 139.9793
   5.500   0.8052   0.00526  -0.00144  -0.0389   0.4335   0.6311  31.6713 140.3895
   6.000   0.8459   0.00537  -0.00168  -0.0368   0.4247   0.6377  32.1385 140.7582
   6.500   0.8814   0.00553  -0.00203  -0.0338   0.4081   0.6437  33.0262 141.0886
   7.000   0.9170   0.00570  -0.00238  -0.0309   0.3883   0.6510  34.0827 141.4973
   7.500   0.9486   0.00600  -0.00277  -0.0275   0.3619   0.6582  35.4929 141.8943
   8.000   0.9605   0.00663  -0.00317  -0.0209   0.3146   0.6656  38.0420 142.3089
   8.500   0.9404   0.00807  -0.00336  -0.0098   0.2306   0.6730  42.6884 142.7175
   9.000   0.8792   0.01121  -0.00291   0.0051   0.1210   0.6794  49.8954 143.0740
   9.500   0.8526   0.01475  -0.00252   0.0128   0.0670   0.6871  55.6512 143.5043
  10.000   0.8437   0.01855  -0.00160   0.0176   0.0390   0.6951  60.6356 143.9474
  10.500   0.8415   0.02236  -0.00034   0.0212   0.0224   0.7042  65.0655 144.4545
  11.500   0.8327   0.03151   0.00363   0.0269   0.0011   0.7227  76.5952 145.4817
  12.000   0.8408   0.03550   0.00541   0.0283   0.0010   0.7332  76.8497 146.0674
  12.500   0.8481   0.03969   0.00738   0.0296   0.0009   0.7457  76.9729 146.7598
  13.000   0.8553   0.04412   0.00958   0.0305   0.0009   0.7586  77.0247 147.4794
  13.500   0.8621   0.04878   0.01200   0.0312   0.0008   0.7731  77.0542 148.2855
  14.000   0.8682   0.05367   0.01463   0.0316   0.0008   0.7911  77.0762 149.2859
